Date,Price_INR
01-08-2021,68000
08-08-2021,68179.48718
15-08-2021,68358.97436
22-08-2021,68538.46154
29-08-2021,68717.94872
05-09-2021,68897.4359
12-09-2021,69076.92308
19-09-2021,69256.41026
26-09-2021,69435.89744
03-10-2021,69615.38462
10-10-2021,69794.87179
17-10-2021,69974.35897
24-10-2021,70153.84615
31-10-2021,70333.33333
07-11-2021,70512.82051
14-11-2021,70692.30769
21-11-2021,70871.79487
28-11-2021,71051.28205
05-12-2021,71230.76923
12-12-2021,71410.25641
19-12-2021,71589.74359
26-12-2021,71769.23077
02-01-2022,71948.71795
09-01-2022,72128.20513
16-01-2022,72307.69231
23-01-2022,72487.17949
30-01-2022,72666.66667
06-02-2022,72846.15385
13-02-2022,73025.64103
20-02-2022,73205.12821
27-02-2022,73384.61538
06-03-2022,73564.10256
13-03-2022,73743.58974
20-03-2022,73923.07692
27-03-2022,74102.5641
03-04-2022,74282.05128
10-04-2022,74461.53846
17-04-2022,74641.02564
24-04-2022,74820.51282
01-05-2022,75000
08-05-2022,74457.14286
15-05-2022,73914.28571
22-05-2022,73371.42857
29-05-2022,72828.57143
05-06-2022,72285.71429
12-06-2022,71742.85714
19-06-2022,71200
26-06-2022,70657.14286
03-07-2022,70114.28571
10-07-2022,69571.42857
17-07-2022,69028.57143
24-07-2022,68485.71429
31-07-2022,67942.85714
07-08-2022,67400
14-08-2022,66857.14286
21-08-2022,66314.28571
28-08-2022,65771.42857
04-09-2022,65228.57143
11-09-2022,64685.71429
18-09-2022,64142.85714
25-09-2022,63600
02-10-2022,63057.14286
09-10-2022,62514.28571
16-10-2022,61971.42857
23-10-2022,61428.57143
30-10-2022,60885.71429
06-11-2022,60342.85714
13-11-2022,59800
20-11-2022,59257.14286
27-11-2022,58714.28571
04-12-2022,58171.42857
11-12-2022,57628.57143
18-12-2022,57085.71429
25-12-2022,56542.85714
01-01-2023,56000
08-01-2023,55897.4359
15-01-2023,55794.87179
22-01-2023,55692.30769
29-01-2023,55589.74359
05-02-2023,55487.17949
12-02-2023,55384.61538
19-02-2023,55282.05128
26-02-2023,55179.48718
05-03-2023,55076.92308
12-03-2023,54974.35897
19-03-2023,54871.79487
26-03-2023,54769.23077
02-04-2023,54666.66667
09-04-2023,54564.10256
16-04-2023,54461.53846
23-04-2023,54358.97436
30-04-2023,54256.41026
07-05-2023,54153.84615
14-05-2023,54051.28205
21-05-2023,53948.71795
28-05-2023,53846.15385
04-06-2023,53743.58974
11-06-2023,53641.02564
18-06-2023,53538.46154
25-06-2023,53435.89744
02-07-2023,53333.33333
09-07-2023,53230.76923
16-07-2023,53128.20513
23-07-2023,53025.64103
30-07-2023,52923.07692
06-08-2023,52820.51282
13-08-2023,52717.94872
20-08-2023,52615.38462
27-08-2023,52512.82051
03-09-2023,52410.25641
10-09-2023,52307.69231
17-09-2023,52205.12821
24-09-2023,52102.5641
01-10-2023,52000
08-10-2023,51895.83333
15-10-2023,51791.66667
22-10-2023,51687.5
29-10-2023,51583.33333
05-11-2023,51479.16667
12-11-2023,51375
19-11-2023,51270.83333
26-11-2023,51166.66667
03-12-2023,51062.5
10-12-2023,50958.33333
17-12-2023,50854.16667
24-12-2023,50750
31-12-2023,50645.83333
07-01-2024,50541.66667
14-01-2024,50437.5
21-01-2024,50333.33333
28-01-2024,50229.16667
04-02-2024,50125
11-02-2024,50020.83333
18-02-2024,49916.66667
25-02-2024,49812.5
03-03-2024,49708.33333
10-03-2024,49604.16667
17-03-2024,49500
24-03-2024,49395.83333
31-03-2024,49291.66667
07-04-2024,49187.5
14-04-2024,49083.33333
21-04-2024,48979.16667
28-04-2024,48875
05-05-2024,48770.83333
12-05-2024,48666.66667
19-05-2024,48562.5
26-05-2024,48458.33333
02-06-2024,48354.16667
09-06-2024,48250
16-06-2024,48145.83333
23-06-2024,48041.66667
30-06-2024,47937.5
07-07-2024,47833.33333
14-07-2024,47729.16667
21-07-2024,47625
28-07-2024,47520.83333
04-08-2024,47416.66667
11-08-2024,47312.5
18-08-2024,47208.33333
25-08-2024,47104.16667
01-09-2024,47000
08-09-2024,46923.07692
15-09-2024,46846.15385
22-09-2024,46769.23077
29-09-2024,46692.30769
06-10-2024,46615.38462
13-10-2024,46538.46154
20-10-2024,46461.53846
27-10-2024,46384.61538
03-11-2024,46307.69231
10-11-2024,46230.76923
17-11-2024,46153.84615
24-11-2024,46076.92308
01-12-2024,46000
08-12-2024,46153.84615
15-12-2024,46307.69231
22-12-2024,46461.53846
29-12-2024,46615.38462
05-01-2025,46769.23077
12-01-2025,46923.07692
19-01-2025,47076.92308
26-01-2025,47230.76923
02-02-2025,47384.61538
09-02-2025,47538.46154
16-02-2025,47692.30769
23-02-2025,47846.15385
02-03-2025,48000
09-03-2025,48153.84615
16-03-2025,48307.69231
23-03-2025,48461.53846
30-03-2025,48615.38462
06-04-2025,48769.23077
13-04-2025,48923.07692
20-04-2025,49076.92308
27-04-2025,49230.76923
04-05-2025,49384.61538
11-05-2025,49538.46154
18-05-2025,49692.30769
25-05-2025,49846.15385
01-06-2025,50000
08-06-2025,50000
15-06-2025,50000
22-06-2025,50000
29-06-2025,50000
06-07-2025,50000
13-07-2025,50000
20-07-2025,50000
27-07-2025,50000
03-08-2025,50000
10-08-2025,50000
17-08-2025,50000
24-08-2025,50000
31-08-2025,50000
07-09-2025,50000
14-09-2025,50000
21-09-2025,50000
28-09-2025,50000
05-10-2025,50000
12-10-2025,50000
19-10-2025,50000
26-10-2025,50000
02-11-2025,50000
